Handle,Title,Body,Vendor,Type,Tags,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Image Src
black-cream-striped-polo-shirt,Black and Cream Striped Polo Shirt,"I hear stripes are 'in' this season, but they are every season because stripes always look wicked. (Proof? Apparently, 'nautical' is in, and that is pretty much all stripes!) High quality T-Shirt. Doc Black original product.",Docblack,Tops,"docblack, polo, shirt, shopify, striped",Title,Small,,,,,DB17-WHI-S,0,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/polo_stripe_white_full_1.jpeg?1257429506
black-cream-striped-polo-shirt,,,,,,Title,Medium,,,,,DB17-WHI-M,0,shopify,100,deny,manual,7.99,,
black-and-green-skull-arm-length-fingerless-gloves,Black and Green Skull Arm Length Fingerless Gloves,"Helping to keep your hands snug in all their stripey glory, these elbow length fingerless gloves are available in a variety of different colours, and skull types (hence forth known as Pirate Skull, Cheery Skull and Mutant skull). This one is Pirate Skull me hearties.

Uni-sex, one size fits all. Also available in regular length.",Docblack,Accessories,"black, Gloves, goth, green, halloween, pirate, skulls, striped",Size Free,Size Free,,,,,DB222-BLK-0,0,shopify,100,deny,manual,3.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB222_Black_Green_Long_Fingerless_GlovesPS.jpg?1257429506
black-and-green-skull-fingerless-gloves,Black and Green Skull Fingerless Gloves,"Helping to keep your hands snug in all their stripey glory, these fingerless gloves are available in a variety of different colours, and skull types (hence forth known as Pirate Skull, Cheery Skull and Mutant skull). This one is Cheery Skull. Isn't he sweet? Don't you want to take him home? >^-^<

Uni-sex, one size fits all. Also available in elbow length.",Docblack,Accessories,"black, Gloves, goth, green, halloween, skulls, striped",Size Free,Size Free,,,,,DB219-GRN-0,0,shopify,100,deny,manual,2.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB219_Black_Green_Fingerless_GlovesPS.jpg?1257429506
black-green-striped-long-sleeve-top,Black and Green Striped Long Sleeve Top,"Stripey and magnificent, this black and green top is...well, stripey and magnificent. Gorgeous shade of green too. Doc Black original.",Docblack,Tops,"docblack, green, shopify, striped, white",Title,Small,,,,,DB18-GRN-S,0,shopify,100,deny,manual,9.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/longsleeve_stripe_green_full_1.jpeg?1257429506
black-green-striped-long-sleeve-top,,,,,,Title,Medium,,,,,DB18-GRN-M,0,shopify,100,deny,manual,9.99,,
black-and-orange-skull-arm-length-fingerless-gloves,Black and Orange Skull Arm Length Fingerless Gloves,"Helping to keep your hands snug in all their stripey glory, these elbow length fingerless gloves are available in a variety of different colours, and skull types (hence forth known as Pirate Skull, Cheery Skull and Mutant skull). This one is Pirate Skull me hearties.

Uni-sex, one size fits all. Also available in regular length.",Docblack,Accessories,"black, Gloves, goth, halloween, orange, pirate, skulls, striped",Size Free,Size Free,,,,,DB224-ORG-0,0,shopify,100,deny,manual,3.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB224_Black_Orange_Long_Fingerless_GlovesPS.jpg?1257429506
black-and-orange-skull-fingerless-gloves,Black and Orange Skull Fingerless Gloves,"Helping to keep your hands snug in all their stripey glory, these fingerless gloves are available in a variety of different colours, and skull types (hence forth known as Pirate Skull, Cheery Skull and Mutant skull). This one is Cheery Skull. Isn't he sweet? Don't you want to take him home? >^-^<

Uni-sex, one size fits all. Also available in elbow length.",Docblack,Accessories,"black, Gloves, goth, halloween, orange, skulls, striped",Size Free,Size Free,,,,,DB217-ORG-0,0,shopify,100,deny,manual,2.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB217_Black_Orange_Fingerless_GlovesPS.jpg?1257429506
black-and-pink-checked-wallet-with-chain,Black and Pink Checked Wallet with Chain,"Black and pink checked skater style wallet with chain. There isn't really anything witty or erodite to be said about it, but safe to say that it is very cool and spacious for all your cash/cards etc. And for any males out there slightly put off by the colour, remember that real men can pull off pink. Especially hot pink.",Docblack,Accessories,"black, chain, checked, pink, wallet",Title,Size Free,,,,,DB58-BLK-0,0,shopify,100,deny,manual,6.95,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB58_wallet_canvas_pink_black_check_full.jpg?1257429506
black-and-red-skull-arm-length-fingerless-gloves,Black and Red Skull Arm Length Fingerless Gloves,"Helping to keep your hands snug in all their stripey glory, these elbow length fingerless gloves are available in a variety of different colours, and skull types (hence forth known as Pirate Skull, Cheery Skull and Mutant skull). This one is Pirate Skull me hearties.

Uni-sex, one size fits all. Also available in regular length.",Docblack,Accessories,"black, Gloves, goth, halloween, pirate, red, skulls, striped",Size Free,Size Free,,,,,DB220-RED-0,0,shopify,100,deny,manual,3.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB220_Black_Red_Long_Fingerless_GlovesPS.jpg?1257429506
black-and-red-skull-fingerless-gloves,Black and Red Skull Fingerless Gloves,"Helping to keep your hands snug in all their stripey glory, these fingerless gloves are available in a variety of different colours, and skull types (hence forth known as Pirate Skull, Cheery Skull and Mutant skull). This one is Mutant Skull (Although to my geeky brain it's more Mutant Skull with a hint of Hollow Ichigo, but don't worry, I don't expect everyone to be as sad as I am!) 


Uni-sex, one size fits all. Also available in elbow length.",Docblack,Accessories,"black, bleach, Gloves, hollow, mutant, red, skulls",Size Free,Size Free,,,,,DB215-RED-0,0,shopify,100,deny,manual,2.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB215_Black_Red_Fingerless_Gloves_MutantPS.jpg?1257429506
black-and-red-skull-fingerless-gloves-1,Black and Red Skull Fingerless Gloves,"Helping to keep your hands snug in all their stripey glory, these fingerless gloves are available in a variety of different colours, and skull types (hence forth known as Pirate Skull, Cheery Skull and Mutant skull). This one is Cheery Skull. Isn't he sweet? Don't you want to take him home? >^-^<

Uni-sex, one size fits all. Also available in elbow length.",Docblack,Accessories,"black, Gloves, goth, halloween, red, skulls, striped",Size Free,Size Free,,,,,DB218-RED-0,0,shopify,100,deny,manual,2.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB218_Black_Red_Fingerless_Gloves_CheeryPS.jpg?1257429506
black-red-striped-long-sleeve-mesh-top,Black and Red striped Long Sleeve mesh Top,"Very lovely, and with a hint of Freddy Kruger (don't worry, it's a good thing. Kruger is the boy) Black and Red striped long sleeve mesh top, with a fancy skull and crossbones patch for good measure. Also available in pink and black and purple and black.",Docblack,Tops,"black, docblack, mesh, red, shopify, top",Size,Small,Colour,Black / Red,,,DB19-RED-S,0,shopify,100,deny,manual,17.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/mesh_stripe_red_front_full_1.jpeg?1257429506
black-red-striped-long-sleeve-mesh-top,,,,,,Size,Medium,Colour,Black / Red,,,DB19-RED-M,0,shopify,100,deny,manual,17.99,,
black-red-striped-long-sleeve-mesh-top,,,,,,Size,Small,Colour,Pink / Black,,,DB19-PNK-S,0,shopify,100,deny,manual,17.99,,
black-red-striped-long-sleeve-mesh-top,,,,,,Size,Medium,Colour,Pink / Black,,,DB18-PNK-M,0,shopify,100,deny,manual,17.99,,
black-red-striped-long-sleeve-mesh-top,,,,,,Size,Small,Colour,Purple / Black,,,DB18-PRL-S,0,shopify,100,deny,manual,17.99,,
black-red-striped-long-sleeve-mesh-top,,,,,,Size,Medium,Colour,Purple / Black,,,DB18-PRL-M,0,shopify,100,deny,manual,17.99,,
black-and-white-animal-print-and-mesh-skirt,Black and White Animal Print and Mesh Skirt,"I'm pretty sure there are no purple leopards out there, even though it would be immensely cool, so this skirt helps us imagine what such a world might have been like, if purple leopards had mesh and ruffles...anyway, this is a tres funky and pretty skirt!

High quality Doc Blacks original. Size Free, although will best fit sizes 8-12 (we're working on getting a wider range, promise) Bikini top not included (although it is available elsewhere on the website, so check it out!)

",Docblack,Skirts,"docblack, goth, leopard print, mini, purple, skirt",Title,One Size,,,,,DB401-WHT-0,0,shopify,100,deny,manual,15.75,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB401_Zebra_Leopard_Mesh_Skirt2PS.jpg?1257429506
black-and-white-animal-print-and-mesh-skirt,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB401_Zebra_Leopard_Mesh_SkirtPS.jpg?1257429506
black-and-white-animal-print-smock-dress,Black and White Animal Print Smock Dress,"This one kind of has a 1960s feel to it. Retrotastic! Another sighting of the lesser spotted zebra leopard print (a zebard? A leobra?). Combination of animal print + monochrome = coolness.

Size free. Doc Black original product.",Docblack,Dresses,"black, docblack, dress, leopard print, smock, white, zebra",Size Free,Default,,,,,DB384-WHT-0,0,shopify,100,deny,manual,19.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB384_Zebra_Leopard_Smock_DressPS.jpg?1257429506
black-and-white-checked-elastic-bandana,Black and White Checked Elastic Bandana,"Elasticated for your convenience, these spiffy bandanas are great for people who are on the go (or, for those like me, people who are always late).",Docblack,Accessories,"bandana, black, checked, elastic, ska, white",Size Free,Size Free,,,,,DB314-BLK-0,0,shopify,100,deny,manual,3.00,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB314_Checked_Elastic_Bandana2.jpg?1257429506
black-and-white-checked-zandana,Black and White Checked Zandana,"As to why these fine products are called zandanas, I must admit that I don't know. Then again, since what I don't know could just about fill the Grand Canyon that is neither here nor there - But any excuse for a quick Kevin Smith reference.

Tying a bandana properly can be a nightmare (Ok, that might be a little extreme, it's more of a mild annoyance), but these handy zandana's are already made up for your wearing pleasure, shaving valuable seconds off one's getting ready time (A priceless commodity for the unorganised among us). Available in various patterns and colours, so go nuts!",Docblack,Accessories,"black, checks, ska, white, zandana",Size Free,Size Free,,,,,DB329-BLK-0,0,shopify,100,deny,manual,4.00,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB329_BlackWhite_Checks_Zandana4.jpg?1257429506
black-and-white-checked-zandana,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB329_BlackWhite_Checks_Zandana3.jpg?1257429506
black-and-white-comic-book-strappy-dress,Black and White Comic Book Strappy Dress,"For those who found the neon comic book style dress we have on sale elsewhere on the site a tad too brightly coloured for them (fabulous as it is), here is the perfect alternative! Black and white comic book print dress. A little more retiring, but still just as awesome. And as before, comic books rule - although maybe not quite as much as manga (^-^)


Size Free. Original Doc Black product.",Docblack,Dresses,"black, comic book, docblack, dress, manga, white",Size Free,Default,,,,,DB385-WHT-0,0,shopify,100,deny,manual,19.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB385_Black_White_Comic_Strappy_DressPS.jpg?1257429506
black-and-white-ghoul-faces-fingerless-gloves,Black and White Ghoul Faces Fingerless Gloves,"Do these gloves remind anyone else of The Exorcist? Just me then...and since in the film they are little more than subliminal images you'll have to take my word for it! Funky black and white fingerless gloves featuring a collection of ghoulish faces. Uni-sex, one size fits all.",Docblack,Accessories,"Gloves, black, ghouls, white",Title,Size Free,,,,,DB69-BLK-0,0,shopify,100,deny,manual,2.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB69_GhoulsFacesGloves.jpg?1257429506
black-and-white-jack-fingerless-gloves,Black and White Jack and Cobwebs Fingerless Gloves,"Uber-wicked black and white fingerless gloves, featuring a background of a cobweb, and in the foreground, everyone's favourite King of Halloween, Jack. (Actually, my Halloween king is Michael Myers, EVEN in Halloween 5. But not the remake, never the remake) Uni-sex, one size fits all.",Docblack,Accessories,"Gloves, Jack, black, cobweb",Title,Size Free,,,,,DB70-BLK-0,0,shopify,100,deny,manual,2.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB70_JackCobwebGloves.jpg?1257429506
black-and-white-jack-fingerless-gloves-1,Black and White Jack Fingerless Gloves,"Another outing for the ever popular Jack! This time with a spiffy collar and a jaunty look in his eye. The perfect accessory. Uni-sex, one size fits all.",Docblack,Accessories,"Gloves, Jack, black, white",Size Free,Size Free,,,,,DB71-BLK-0,0,shopify,100,deny,manual,2.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB7.jpg?1257429506
black-and-white-skull-arm-length-fingerless-gloves,Black and White Skull Arm Length Fingerless Gloves,"Helping to keep your hands snug in all their stripey glory, these elbow length fingerless gloves are available in a variety of different colours, and skull types (hence forth known as Pirate Skull, Cheery Skull and Mutant skull). This one is Pirate Skull me hearties.

Uni-sex, one size fits all. Also available in regular length.",Docblack,Accessories,"black, Gloves, goth, halloween, pirate, skulls, striped, white",Size Free,Size Free,,,,,DB221-BLK-0,0,shopify,100,deny,manual,3.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB221_Black_White_Long_Fingerless_GlovesPS.jpg?1257429506
black-and-white-skull-fingerless-gloves,Black and White Skull Fingerless Gloves,"Helping to keep your hands snug in all their stripey glory, these fingerless gloves are available in a variety of different colours, and skull types (hence forth known as Pirate Skull, Cheery Skull and Mutant skull). This one is Pirate Skull me hearties. 

Uni-sex, one size fits all. Also available in elbow length.",Docblack,Accessories,"black, goth, skull, skulls, striped, white",Size Free,Size Free,,,,,DB214-BLK-0,0,shopify,100,deny,manual,2.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB214_Black_White_Fingerless_GlovesPS.jpg?1257429506
black-and-white-striped-polo-shirt,Black and White Striped Polo Shirt,"This actually is different from the other stripey t-shirt listed, as that one was cream and black, and this one is white and black. Either way, it's still very cool. High quality t-shirt, Doc Black original.",Docblack,Tops,"black, docblack, polo, shirt, shopify, striped, white",Title,Small,,,,,DB15-WHI-S,0,shopify,100,deny,manual,7.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/polo_stripe_white_full_2.jpeg?1257429506
black-and-white-striped-polo-shirt,,,,,,Title,Medium,,,,,DB15-WHI-M,0,shopify,100,deny,manual,7.99,,
black-and-white-striped-skull-fingerless-gloves,Black and White Striped Skull Fingerless Gloves,"Very cool black and white striped fingerless gloves, featuring a skull and cross bones in the middle. Perfect for fans of zebras and Newcastle United a like. And even for those people who aren't. Uni-sex, one size fits all. ",Docblack,Accessories,"Gloves, black, skull, striped, white",Title,Size Free,,,,,DB68-BLK-0,0,shopify,100,deny,manual,2.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB68_BlackWhiteSkullGloves.jpg?1257429506
black-and-white-ying-yang-zandana,Black and White Ying Yang Zandana,"As to why these fine products are called zandanas, I must admit that I don't know. Then again, since what I don't know could just about fill the Grand Canyon that is neither here nor there - But any excuse for a quick Kevin Smith reference.

Tying a bandana properly can be a nightmare (Ok, that might be a little extreme, it's more of a mild annoyance), but these handy zandana's are already made up for your wearing pleasure, shaving valuable seconds off one's getting ready time (A priceless commodity for the unorganised among us). Available in various patterns and colours, so go nuts!",Docblack,Accessories,"black, yang, ying, zandana",Size Free,Size Free,,,,,DB331-BLK-0,0,shopify,100,deny,manual,4.00,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB331_Black_YingYang_Zandana4.jpg?1257429506
black-and-white-ying-yang-zandana,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB331_Black_YingYang_Zandana3a.jpg?1257429506
black-gloves-with-skeleton-motif,Black Fingerless Gloves with Skeleton Motif,"Black fingerless gloves with skeleton hand motif. Great for scaring small children (that is clearly a joke, and Doc Black does not endorse the scaring of small children...unless they're being REALLY annoying) Uni-sex, one size fits all.",Docblack,Accessories,"Gloves, black, skeleton, white",Size Free,Size Free,,,,,DB72-BLK-0,0,shopify,100,deny,manual,2.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/IMG_2706.jpg?1257429506
black-fingerless-gloves-with-skull-and-cobweb-pattern,Black Fingerless Gloves with Skull and Cobweb Pattern,"Black fingerless gloves with a skull and crossbones design in the middle of a cobweb (I don't fancy the spider's chances much when he gets home and finds out what he's caught for his dinner!) Very funky and pratical too. Uni-sex, size free.",Docblack,Accessories,"Gloves, black, cobweb, skull",Title,Size Free,,,,,DB50-BLK-0,0,shopify,100,deny,manual,2.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB50_glove_fingerless_black_sxb_and_web_full.jpg?1257429506
black-fishnet-elbow-length-gloves,Black Fishnet Elbow Length Gloves,"Fishnet is somewhat of a permanent feature in gothic alternative culture, and with good reason...it looks wicked being the main one. Although they may not keep your hands as snug as other, more traditional gloves, they do have other things going for them...looking wicked, again, being the main one!

NB: Comes in a pair, even though there's only one in the photo.

",Docblack,Accessories,"black, emo, fishnet, Gloves, goth, halloween, mesh, punk",Size Free,Size Free,,,,,DB213-BLK-0,0,shopify,100,deny,manual,2.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB213_Fishnet_Armlength_Glove.jpg?1257429506
black-fishnet-fingerless-gloves,Black Fishnet Fingerless Gloves,"Fishnet is somewhat of a permanent feature in gothic alternative culture, and with good reason...it looks wicked being the main one. Although they may not keep your hands as snug as other, more traditional gloves, they do have other things going for them...looking wicked, again, being the main one!

Elbow length version also available.",Docblack,Accessories,"black, emo, fishnet, Gloves, goth, halloween, mesh, punk",Size Free,Size Free,,,,,DB212-BLK-0,0,shopify,100,deny,manual,1.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB212_Fishnet_Hand_Glove.jpg?1257429506
black-fishnet-fingerless-gloves,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB212_Fishnet_Hand_Glove2PS.jpg?1257429506
black-gloves-adorned-with-skulls,Black Gloves Adorned with Skulls,"Very snug looking black gloves with a grey and white skull and crossbones pattern. You may think that now it's summer you won't need gloves but I wouldn't be so sure. Think about it, when it's 2.00 in the morning, you're at a festival and you can't open a beer (or can of Coke, for the underagers) because your hands are too cold. That would be tragic. Hence the need for gloves in the summer. No need to thank me. Uni-sex, size free.",Docblack,Accessories,"Gloves, black, skulls",Title,Size Free,,,,,DB48-BLK-0,0,shopify,100,deny,manual,4.25,,http://cdn.shopify.com/s/files/1/0028/4062/products/db48_glove_fingered_grey_sxb_full.jpg?1257429506
black-gloves-with-skeleton-design,Black Gloves with Skeleton Design,"Very funky and very goth chic, these gloves are pretty special. Perfect for the unpredictability of the great British summer and will keep your hands super snug. Practical fashion thinking. And for our international friends, who enjoy lovely hot summers, these gloves will be merely spiffy, but will still look great, thats the main thing. Uni-sex, size free.",Docblack,Accessories,"Gloves, black, skeleton",Title,Size Free,,,,,DB49-BLK-0,0,shopify,99,deny,manual,4.25,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB49_glove_fingered_skeleton_hand_full.jpg?1257429506
black-grim-reaper-t-shirt,Black Grim Reaper T-Shirt,"Don't forget, if this guy offers you a chess match, refuse, he's mental good at it. Black t-shirt with cool gothic Grim Reaper picture. Available in plus sizes. High quality, heavyweight 100% cotton, with greyscale print on back. Doc Black original. Children's version also available.",Docblack,T-shirts,"black, grim reaper, plus-size, skeleton",Title,Small,,,,,DB73-BLK-S,0,shopify,99,deny,manual,11.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/death_front_full.jpg?1257429506
black-grim-reaper-t-shirt,,,,,,Title,Medium,,,,,DB73-BLK-M,0,shopify,100,deny,manual,11.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/death_back_full.jpg?1257429506
black-grim-reaper-t-shirt,,,,,,Title,Large,,,,,DB73-BLK-L,0,shopify,100,deny,manual,11.99,,
black-grim-reaper-t-shirt,,,,,,Title,X Large,,,,,DB73-BLK-XL,0,shopify,100,deny,manual,11.99,,
black-grim-reaper-t-shirt,,,,,,Title,XX Large,,,,,DB73-BLK-XXL,0,shopify,100,deny,manual,12.99,,
black-hairy-skull-with-eye-patch-t-shirt,Black Hairy Skull with Eye-Patch T-Shirt,"Very bad-ass looking pirate like skull dude with a pentagram on his forehead. Could probably use a deep conditioning treatment though! Available in plus sizes. High quality, heavyweight 100% cotton, with greyscale print on back. Doc Black original.",Docblack,T-shirts,"black, pentagram, plus-size, skull, t-shirt",Title,Small,,,,,DB74-BLK-S,0,shopify,99,deny,manual,11.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/patch_skull_front_full.jpg?1257429506
black-hairy-skull-with-eye-patch-t-shirt,,,,,,Title,Medium,,,,,DB74-BLK-M,0,shopify,100,deny,manual,11.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/patch_skull_back_full.jpg?1257429506
black-hairy-skull-with-eye-patch-t-shirt,,,,,,Title,Large,,,,,DB74-BLK-L,0,shopify,100,deny,manual,11.99,,
black-hairy-skull-with-eye-patch-t-shirt,,,,,,Title,X Large,,,,,DB74-BLK-XL,0,shopify,100,deny,manual,11.99,,
black-hairy-skull-with-eye-patch-t-shirt,,,,,,Title,XX Large,,,,,DB74-BLK-XXL,0,shopify,100,deny,manual,12.99,,
black-hoodie-with-white-skull-motif,Black Hoodie with White Skull Motif,"Thick black hoody with white skull motif. Very cool, and perfect for festivals (we all know it going to rain, so you might as well be prepared!) Doc Black original.",Docblack,Hoodies,"black, hoody, skull",Title,One Size,,,,,DB65-BLK-O,0,shopify,100,deny,manual,19.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/DB65_BlackhoodyWhiteSkulls.jpg?1257429506
black-hoody-with-green-skull-motif,Black Hoody with Green Skull Motif,"Thick black hoody with green skull motif. Very cool, and perfect for festivals (we all know it going to rain, so you might as well be prepared!) Doc Black original.",Docblack,Hoodies,"black, hoody, skull",Title,One Size,,,,,DB64-BLK-O,0,shopify,100,deny,manual,19.99,,http://cdn.shopify.com/s/files/1/0028/4062/products/db64_blackhoodygreenskulls.jpg?1257429506
black-patterned-elastic-bandana,Black Patterned Elastic Bandana,"Elasticated for your convenience, these spiffy bandanas are great for people who are on the go (or, for those like me, people who are always late).",Docblack,Accessories,"bandana, black, elastic, patterned",Size Free,Size Free,,,,,DB323-BLK-0,0,shopify,96,deny,manual,3.00,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB323_Black_Pattern_Elastic_Bandana2.jpg?1257429506
black-patterned-zandana,Black Patterned Zandana,"As to why these fine products are called zandanas, I must admit that I don't know. Then again, since what I don't know could just about fill the Grand Canyon that is neither here nor there - But any excuse for a quick Kevin Smith reference.

Tying a bandana properly can be a nightmare (Ok, that might be a little extreme, it's more of a mild annoyance), but these handy zandana's are already made up for your wearing pleasure, shaving valuable seconds off one's getting ready time (A priceless commodity for the unorganised among us). Available in various patterns and colours, so go nuts!",Docblack,Accessories,"black, patterned, zandana",Size Free,Size Free,,,,,DB336-BLK-0,0,shopify,100,deny,manual,4.00,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB336_Black_Pattern_Zandana4.jpg?1257429506
black-patterned-zandana,,,,,,,,,,,,,,,,,,,,http://cdn.shopify.com/s/files/1/0028/4062/products/600_DB336_Black_Pattern_Zandana3.jpg?1257429506
